51.9745598	6.3321063	Bultensweg	7004HR	3
51.9603928	6.3607820	Kasteellaan	7004JK	6
51.9555136	6.3036954	Acacialaan	7004AM	1
51.9491103	6.3131585	Anemoonstraat	7004EK	1
51.9517251	6.3124742	Asterstraat	7004BV	1
51.9499746	6.3104690	Begoniastraat	7004CK	1
51.9532873	6.3151036	Berlagelaan	7004LA	1
51.9578483	6.3006702	Charley Tooropstraat	7004AS	1
51.9509632	6.3072218	Fazantlaan	7004BM	1
51.9577336	6.3012440	Frans Halsweg	7004AA	1
51.9524597	6.3052795	Hazenlaan	7004BL	1
51.9482645	6.3125258	Korenbloemstraat	7004EE	1
51.9488748	6.3104174	Leliestraat	7004CN	1
51.9498764	6.3115028	Madeliefstraat	7004EJ	1
51.9553234	6.3071322	Meidoornlaan	7004AL	1
51.9497561	6.3126576	Muurbloemstraat	7004EC	1
51.9492320	6.3126151	Pinksterbloemstraat	7004ED	1
51.9522767	6.3071032	Reigerlaan	7004BS	1
51.9496409	6.3129591	Rozenstraat	7004CE	1
51.9509340	6.3086756	Sniplaan	7004BN	1
51.9492622	6.3110117	Tulpenstraat	7004DD	1
51.9513511	6.3117165	Zonnebloemstraat	7004EA	1
51.9547468	6.3040523	Acacialaan	7004AR	10
51.9489632	6.3135520	Anemoonstraat	7004EK	10
51.9512879	6.3122038	Asterstraat	7004BV	10
51.9549133	6.3161912	Badweg	7004GV	10
51.9495693	6.3097659	Begoniastraat	7004CL	10
51.9575682	6.2997849	Charley Tooropstraat	7004AS	10
51.9540390	6.3047731	Eikenlaan	7004AX	10
51.9540420	6.3059584	Esdoornlaan	7004BB	10
51.9509420	6.3080664	Fazantlaan	7004BM	10
51.9574634	6.3010348	Frans Halsweg	7004AB	10
51.9516040	6.3211716	Kampstraat	7004GJ	10
51.9502135	6.3112768	Klaproosstraat	7004EH	10
51.9477000	6.3122843	Korenbloemstraat	7004EE	10
51.9479649	6.3092056	Leliestraat	7004CS	10
51.9555987	6.3042289	Lijsterbeslaan	7004AH	10
51.9528485	6.3060770	Meester Lovinklaan	7004BJ	10
51.9495608	6.3123721	Muurbloemstraat	7004EC	10
51.9470152	6.3123978	Paardenbloemstraat	7004DZ	10
51.9522308	6.3083890	Patrijslaan	7004BC	10
51.9488899	6.3123897	Pinksterbloemstraat	7004ED	10
51.9496696	6.3135465	Rozenstraat	7004CE	10
51.9505473	6.3087244	Sniplaan	7004BN	10
51.9573630	6.3073367	Vijverlaan	7004GS	10
51.9509111	6.3119688	Zonnebloemstraat	7004EB	10
51.9518840	6.3098520	Zonneplein	7004EL	10
51.9535708	6.3061409	Acacialaan	7004AT	100
51.9487497	6.3162118	Asterstraat	7004DS	100
51.9486458	6.3143813	Tulpenstraat	7004DL	100
51.9537228	6.3091598	Acacialaan	7004AN	101
51.9480354	6.3106864	Leliestraat	7004CR	101
51.9493152	6.3152375	Tulpenstraat	7004DH	101
51.9552370	6.3106642	Lijsterbeslaan	7004GN	101A
51.9546431	6.3102295	Lijsterbeslaan	7004GN	101B
51.9546422	6.3103376	Lijsterbeslaan	7004GN	101C
51.9534474	6.3064378	Acacialaan	7004AT	102
51.9487497	6.3162120	Asterstraat	7004DS	102
51.9486750	6.3144573	Tulpenstraat	7004DL	102
51.9536300	6.3094419	Acacialaan	7004AN	103
51.9483528	6.3161206	Asterstraat	7004DS	103
51.9480511	6.3107642	Leliestraat	7004CR	103
51.9546636	6.3105475	Lijsterbeslaan	7004GN	103
51.9493493	6.3153005	Tulpenstraat	7004DH	103
51.9546390	6.3106924	Lijsterbeslaan	7004GN	103A
51.9534087	6.3065223	Acacialaan	7004AT	104
51.9487497	6.3162122	Asterstraat	7004DS	104
51.9487022	6.3145284	Tulpenstraat	7004DL	104
51.9535065	6.3097734	Acacialaan	7004AN	105
51.9483332	6.3160376	Asterstraat	7004DS	105
51.9480675	6.3108504	Leliestraat	7004CR	105
51.9545746	6.3110088	Lijsterbeslaan	7004GN	105
51.9493856	6.3153673	Tulpenstraat	7004DH	105
51.9556190	6.3122564	Vijverlaan	7004GS	105
51.9533460	6.3066571	Acacialaan	7004AT	106
51.9487498	6.3162124	Asterstraat	7004DS	106
51.9487345	6.3146130	Tulpenstraat	7004DL	106
51.9533225	6.3094930	Acacialaan	7004AN	107
51.9483085	6.3159338	Asterstraat	7004DS	107
51.9480865	6.3109475	Leliestraat	7004CR	107
51.9494219	6.3154352	Tulpenstraat	7004DH	107
51.9533052	6.3067462	Acacialaan	7004AT	108
51.9487498	6.3162126	Asterstraat	7004DS	108
51.9488052	6.3147442	Tulpenstraat	7004DL	108
51.9534307	6.3092804	Acacialaan	7004AN	109
51.9482893	6.3158531	Asterstraat	7004DS	109
51.9481012	6.3110236	Leliestraat	7004CR	109
51.9545360	6.3115493	Lijsterbeslaan	7004GN	109
51.9494607	6.3155074	Tulpenstraat	7004DH	109
51.9551395	6.3040569	Acacialaan	7004AM	11
51.9531582	6.3160553	Berlagelaan	7004LA	11
51.9575074	6.3000503	Charley Tooropstraat	7004AS	11
51.9500147	6.3092722	Dennenweg	7004BP	11
51.9535952	6.3051080	Esdoornlaan	7004BA	11
51.9511806	6.3080154	Fazantlaan	7004BM	11
51.9573438	6.3016138	Frans Halsweg	7004AA	11
51.9503195	6.3117700	Klaproosstraat	7004EG	11
51.9478749	6.3125272	Korenbloemstraat	7004EE	11
51.9489518	6.3099180	Leliestraat	7004CN	11
51.9530276	6.3063307	Meester Lovinklaan	7004BG	11
51.9553174	6.3075103	Meidoornlaan	7004AL	11
51.9495689	6.3139504	Papaverstraat	7004CH	11
51.9486864	6.3126299	Pinksterbloemstraat	7004ED	11
51.9517923	6.3068952	Reigerlaan	7004BS	11
51.9500101	6.3137054	Rozenstraat	7004CE	11
51.9505976	6.3091420	Sniplaan	7004BN	11
51.9490165	6.3108232	Tulpenstraat	7004DD	11
51.9532435	6.3068893	Acacialaan	7004AT	110
51.9487498	6.3162128	Asterstraat	7004DS	110
51.9488386	6.3148301	Tulpenstraat	7004DL	110
51.9549449	6.3131998	Vijverlaan	7004GS	110
51.9535077	6.3089936	Acacialaan	7004AN	111
51.9481184	6.3111108	Leliestraat	7004CR	111
51.9494963	6.3155738	Tulpenstraat	7004DH	111
51.9532127	6.3069700	Acacialaan	7004AT	112
51.9487498	6.3162130	Asterstraat	7004DS	112
51.9488663	6.3149014	Tulpenstraat	7004DL	112
51.9548415	6.3134230	Vijverlaan	7004GS	112
51.9532566	6.3088263	Acacialaan	7004AN	113
51.9482427	6.3155079	Asterstraat	7004DS	113
51.9481533	6.3113003	Leliestraat	7004CR	113
51.9545218	6.3118192	Lijsterbeslaan	7004GN	113
51.9531556	6.3071317	Acacialaan	7004AT	114
51.9487498	6.3162132	Asterstraat	7004DS	114
51.9488928	6.3149700	Tulpenstraat	7004DL	114
51.9546933	6.3137084	Vijverlaan	7004GS	114
51.9482247	6.3154214	Asterstraat	7004DS	115
51.9482052	6.3113405	Leliestraat	7004CR	115
51.9545057	6.3121332	Lijsterbeslaan	7004GN	115
51.9570968	6.3001793	Terborgseweg	7004DN	115
51.9531288	6.3072164	Acacialaan	7004AT	116
51.9485560	6.3159136	Asterstraat	7004DS	116
51.9489241	6.3150507	Tulpenstraat	7004DL	116
51.9530788	6.3086898	Acacialaan	7004AN	117
51.9482012	6.3153089	Asterstraat	7004DS	117
51.9482608	6.3113836	Leliestraat	7004CR	117
51.9544901	6.3124019	Lijsterbeslaan	7004GN	117
51.9570478	6.3002816	Terborgseweg	7004DN	117
51.9530719	6.3074122	Acacialaan	7004AT	118
51.9485371	6.3158325	Asterstraat	7004DS	118
51.9489535	6.3151272	Tulpenstraat	7004DL	118
51.9481846	6.3152287	Asterstraat	7004DS	119
51.9483090	6.3114208	Leliestraat	7004CR	119
51.9544787	6.3126020	Lijsterbeslaan	7004GN	119
51.9569594	6.3004740	Terborgseweg	7004DN	119
51.9502953	6.3118400	Klaproosstraat	7004EG	11A
51.9546493	6.3041424	Acacialaan	7004AR	12
51.9489864	6.3136277	Anemoonstraat	7004EK	12
51.9512880	6.3122036	Asterstraat	7004BV	12
51.9551200	6.3163532	Badweg	7004GV	12
51.9494996	6.3097089	Begoniastraat	7004CL	12
51.9574502	6.2997532	Charley Tooropstraat	7004AS	12
51.9509728	6.3081675	Fazantlaan	7004BM	12
51.9573781	6.3011084	Frans Halsweg	7004AB	12
51.9525708	6.3060853	Hazenlaan	7004BL	12
51.9514159	6.3206521	Kampstraat	7004GJ	12
51.9564218	6.3055478	Kastanjelaan	7004AK	12
51.9501882	6.3113543	Klaproosstraat	7004EH	12
51.9502723	6.3166189	Koekendaalseweg	7004GH	12
51.9476518	6.3122929	Korenbloemstraat	7004EE	12
51.9479839	6.3091795	Leliestraat	7004CS	12
51.9555589	6.3043285	Lijsterbeslaan	7004AH	12
51.9526889	6.3063789	Meester Lovinklaan	7004BJ	12
51.9495008	6.3123657	Muurbloemstraat	7004EC	12
51.9492648	6.3137823	Papaverstraat	7004CJ	12
51.9521604	6.3083119	Patrijslaan	7004BC	12
51.9488359	6.3123841	Pinksterbloemstraat	7004ED	12
51.9539306	6.3170177	Rekhemseweg	7004GL	12
51.9497201	6.3136315	Rozenstraat	7004CE	12
51.9504867	6.3088092	Sniplaan	7004BN	12
51.9571116	6.3080277	Vijverlaan	7004GS	12
51.9519088	6.3097466	Zonneplein	7004EL	12
51.9530228	6.3075798	Acacialaan	7004AT	120
51.9485150	6.3157369	Asterstraat	7004DS	120
51.9490744	6.3153962	Tulpenstraat	7004DL	120
51.9528973	6.3089041	Acacialaan	7004AP	121
51.9544655	6.3128084	Lijsterbeslaan	7004GN	121
51.9529759	6.3077432	Acacialaan	7004AT	122
51.9484939	6.3156464	Asterstraat	7004DS	122
51.9490321	6.3154552	Tulpenstraat	7004DL	122
51.9528242	6.3091323	Acacialaan	7004AP	123
51.9544548	6.3130085	Lijsterbeslaan	7004GN	123
51.9529289	6.3079045	Acacialaan	7004AT	124
51.9489899	6.3155143	Tulpenstraat	7004DL	124
51.9527828	6.3093155	Acacialaan	7004AP	125
51.9478988	6.3140961	Asterstraat	7004DS	125
51.9544463	6.3131521	Lijsterbeslaan	7004GN	125
51.9528850	6.3080590	Acacialaan	7004AT	126
51.9484343	6.3152701	Asterstraat	7004DS	126
51.9489477	6.3155733	Tulpenstraat	7004DL	126
51.9527042	6.3095954	Acacialaan	7004AP	127
51.9478779	6.3140085	Asterstraat	7004DS	127
51.9544442	6.3134033	Lijsterbeslaan	7004GN	127
51.9521883	6.3309834	Rekhemseweg	7004HD	127
51.9528343	6.3081976	Acacialaan	7004AT	128
51.9484163	6.3151845	Asterstraat	7004DS	128
51.9489862	6.3157572	Tulpenstraat	7004DL	128
51.9526314	6.3098738	Acacialaan	7004AP	129
51.9478570	6.3139210	Asterstraat	7004DS	129
51.9544451	6.3138630	Lijsterbeslaan	7004GN	129
51.9522883	6.3309016	Rekhemseweg	7004HD	129
51.9550625	6.3041397	Acacialaan	7004AM	13
51.9495353	6.3116121	Begoniastraat	7004CK	13
51.9574547	6.3000414	Charley Tooropstraat	7004AS	13
51.9500276	6.3093785	Dennenweg	7004BP	13
51.9512395	6.3081961	Fazantlaan	7004BM	13
51.9572969	6.3016621	Frans Halsweg	7004AA	13
51.9502520	6.3120680	Klaproosstraat	7004EG	13
51.9478260	6.3125512	Korenbloemstraat	7004EE	13
51.9489649	6.3098343	Leliestraat	7004CN	13
51.9561365	6.3035320	Lijsterbeslaan	7004AE	13
51.9529602	6.3064531	Meester Lovinklaan	7004BG	13
51.9551628	6.3075652	Meidoornlaan	7004AL	13
51.9495899	6.3140062	Papaverstraat	7004CH	13
51.9486291	6.3126254	Pinksterbloemstraat	7004ED	13
51.9518377	6.3066642	Reigerlaan	7004BS	13
51.9542681	6.3168691	Rekhemseweg	7004GK	13
51.9501104	6.3138716	Rozenstraat	7004CE	13
51.9505006	6.3092762	Sniplaan	7004BN	13
51.9488137	6.3111391	Tulpenstraat	7004DD	13
51.9528084	6.3082887	Acacialaan	7004AT	130
51.9483578	6.3149966	Asterstraat	7004DS	130
51.9502844	6.3318480	Rekhemseweg	7004HD	130
51.9490237	6.3158251	Tulpenstraat	7004DL	130
51.9525530	6.3101803	Acacialaan	7004AP	131
51.9478361	6.3138335	Asterstraat	7004DS	131
51.9554171	6.3027075	Terborgseweg	7004DN	131
51.9527747	6.3084022	Acacialaan	7004AT	132
51.9483396	6.3149103	Asterstraat	7004DS	132
51.9501696	6.3318749	Rekhemseweg	7004HD	132
51.9490613	6.3158930	Tulpenstraat	7004DL	132
51.9524764	6.3104042	Acacialaan	7004AP	133
51.9553552	6.3027534	Terborgseweg	7004DN	133
51.9524256	6.3105997	Acacialaan	7004AP	133A
51.9527499	6.3084888	Acacialaan	7004AT	134
51.9490989	6.3159610	Tulpenstraat	7004DL	134
51.9523738	6.3108245	Acacialaan	7004AP	135
51.9477544	6.3134458	Asterstraat	7004DS	135
51.9552494	6.3028324	Terborgseweg	7004DN	135
51.9527102	6.3086230	Acacialaan	7004AT	136
51.9491365	6.3160289	Tulpenstraat	7004DL	136
51.9523352	6.3109832	Acacialaan	7004AP	137
51.9477336	6.3133675	Asterstraat	7004DS	137
51.9551305	6.3029270	Terborgseweg	7004DN	137
51.9526629	6.3087873	Acacialaan	7004AT	138
51.9481749	6.3140343	Asterstraat	7004DS	138
51.9491741	6.3160968	Tulpenstraat	7004DL	138
51.9522478	6.3112936	Acacialaan	7004AP	139
51.9476843	6.3130316	Asterstraat	7004DS	139
51.9550295	6.3029984	Terborgseweg	7004DN	139
51.9502486	6.3121549	Klaproosstraat	7004EG	13A
51.9545533	6.3042358	Acacialaan	7004AR	14
51.9512881	6.3122034	Asterstraat	7004BV	14
51.9552839	6.3165539	Badweg	7004GV	14
51.9494317	6.3096825	Begoniastraat	7004CL	14
51.9575700	6.2993378	Charley Tooropstraat	7004AS	14
51.9510848	6.3084942	Fazantlaan	7004BM	14
51.9573050	6.3011729	Frans Halsweg	7004AB	14
51.9526127	6.3061701	Hazenlaan	7004BL	14
51.9563880	6.3056557	Kastanjelaan	7004AK	14
51.9500724	6.3116964	Klaproosstraat	7004EH	14
51.9480029	6.3091534	Leliestraat	7004CS	14
51.9526008	6.3065581	Meester Lovinklaan	7004BJ	14
51.9494393	6.3123644	Muurbloemstraat	7004EC	14
51.9492974	6.3138570	Papaverstraat	7004CJ	14
51.9520869	6.3082330	Patrijslaan	7004BC	14
51.9487874	6.3123831	Pinksterbloemstraat	7004ED	14
51.9498384	6.3138207	Rozenstraat	7004CE	14
51.9504179	6.3089040	Sniplaan	7004BN	14
51.9519380	6.3096364	Zonneplein	7004EL	14
51.9481562	6.3139585	Asterstraat	7004DS	140
51.9549644	6.3030495	Terborgseweg	7004DN	141
51.9521310	6.3117151	Acacialaan	7004AP	143
51.9548741	6.3031083	Terborgseweg	7004DN	143
51.9480653	6.3136156	Asterstraat	7004DS	144
51.9548187	6.3031464	Terborgseweg	7004DN	145
51.9480458	6.3135280	Asterstraat	7004DS	146
51.9520440	6.3121125	Acacialaan	7004AP	147
51.9547356	6.3032104	Terborgseweg	7004DN	147
51.9480263	6.3134404	Asterstraat	7004DS	148
51.9537182	6.3151356	Dennenweg	7004GM	148
51.9546835	6.3032538	Terborgseweg	7004DN	149
51.9547256	6.3035362	Terborgseweg	7004DN	149A
51.9549576	6.3042416	Acacialaan	7004AM	15
51.9558715	6.3162128	Badweg	7004GV	15
51.9495219	6.3117013	Begoniastraat	7004CK	15
51.9573211	6.3000656	Charley Tooropstraat	7004AS	15
51.9501283	6.3097631	Dennenweg	7004BP	15
51.9537996	6.3052514	Esdoornlaan	7004BA	15
51.9513191	6.3083627	Fazantlaan	7004BM	15
51.9571824	6.3017807	Frans Halsweg	7004AA	15
51.9503961	6.3131746	Klaproosstraat	7004EG	15
51.9477784	6.3125751	Korenbloemstraat	7004EE	15
51.9489786	6.3097455	Leliestraat	7004CN	15
51.9560465	6.3037888	Lijsterbeslaan	7004AE	15
51.9529138	6.3065492	Meester Lovinklaan	7004BG	15
51.9551347	6.3075805	Meidoornlaan	7004AL	15
51.9496163	6.3140759	Papaverstraat	7004CH	15
51.9485810	6.3126219	Pinksterbloemstraat	7004ED	15
51.9518887	6.3066014	Reigerlaan	7004BS	15
51.9542671	6.3169399	Rekhemseweg	7004GK	15
51.9501773	6.3139803	Rozenstraat	7004CE	15
51.9504484	6.3093481	Sniplaan	7004BN	15
51.9488517	6.3111967	Tulpenstraat	7004DD	15
51.9480069	6.3133528	Asterstraat	7004DS	150
51.9545891	6.3033226	Terborgseweg	7004DN	151
51.9479874	6.3132653	Asterstraat	7004DS	152
51.9544599	6.3035009	Terborgseweg	7004DN	153
51.9547751	6.3191469	Vossenstraat	7004GW	153
51.9538785	6.3038021	Terborgseweg	7004DN	157
51.9538166	6.3038602	Terborgseweg	7004DN	159
51.9512883	6.3122033	Asterstraat	7004BV	16
51.9554238	6.3169643	Badweg	7004GV	16
51.9493164	6.3096900	Begoniastraat	7004CL	16
51.9474595	6.3128372	Boterbloemstraat	7004DP	16
51.9576148	6.2992523	Charley Tooropstraat	7004AS	16
51.9508609	6.3115874	Dennenweg	7004BS	16
51.9511341	6.3085880	Fazantlaan	7004BM	16
51.9572212	6.3012474	Frans Halsweg	7004AB	16
51.9563018	6.3057926	Kastanjelaan	7004AK	16
51.9500460	6.3117670	Klaproosstraat	7004EH	16
51.9480219	6.3091272	Leliestraat	7004CS	16
51.9554267	6.3046819	Lijsterbeslaan	7004AH	16
51.9525604	6.3066342	Meester Lovinklaan	7004BJ	16
51.9493217	6.3139429	Papaverstraat	7004CJ	16
51.9487292	6.3123796	Pinksterbloemstraat	7004ED	16
51.9498945	6.3139178	Rozenstraat	7004CE	16
51.9503548	6.3089936	Sniplaan	7004BN	16
51.9518755	6.3099607	Zonneplein	7004EL	16
51.9536796	6.3039623	Terborgseweg	7004DN	161
51.9536144	6.3040122	Terborgseweg	7004DN	163
51.9534723	6.3041357	Terborgseweg	7004DN	165
51.9532163	6.3043859	Terborgseweg	7004DN	167
